T           beta         U/N          C/N         U_t          C_t         err_U       err_C
4.000E+00   2.500E-01    -2.443E-01   5.882E-02   -2.447E-01   5.869E-02   1.361E-03   2.248E-03
3.800E+00   2.632E-01    -2.566E-01   6.560E-02   -2.570E-01   6.460E-02   1.585E-03   1.536E-02
3.600E+00   2.778E-01    -2.710E-01   7.112E-02   -2.706E-01   7.143E-02   1.678E-03   4.292E-03
3.400E+00   2.941E-01    -2.855E-01   8.012E-02   -2.856E-01   7.935E-02   3.548E-04   9.618E-03
3.200E+00   3.125E-01    -3.025E-01   8.667E-02   -3.024E-01   8.862E-02   2.314E-04   2.196E-02
3.000E+00   3.333E-01    -3.208E-01   1.005E-01   -3.212E-01   9.953E-02   1.300E-03   9.889E-03
2.800E+00   3.571E-01    -3.427E-01   1.108E-01   -3.424E-01   1.125E-01   9.014E-04   1.503E-02
2.600E+00   3.846E-01    -3.668E-01   1.261E-01   -3.663E-01   1.279E-01   1.321E-03   1.387E-02
2.400E+00   4.167E-01    -3.941E-01   1.442E-01   -3.937E-01   1.465E-01   8.573E-04   1.577E-02
2.200E+00   4.545E-01    -4.250E-01   1.691E-01   -4.252E-01   1.690E-01   4.585E-04   2.589E-04
2.000E+00   5.000E-01    -4.614E-01   1.935E-01   -4.617E-01   1.964E-01   4.797E-04   1.504E-02
1.800E+00   5.556E-01    -5.039E-01   2.278E-01   -5.042E-01   2.298E-01   5.140E-04   8.753E-03
1.600E+00   6.250E-01    -5.541E-01   2.670E-01   -5.540E-01   2.702E-01   8.461E-05   1.199E-02
1.400E+00   7.143E-01    -6.125E-01   3.281E-01   -6.127E-01   3.179E-01   4.078E-04   3.188E-02
1.200E+00   8.333E-01    -6.805E-01   3.759E-01   -6.816E-01   3.708E-01   1.644E-03   1.377E-02
1.000E+00   1.000E+00    -7.603E-01   4.146E-01   -7.608E-01   4.196E-01   7.302E-04   1.184E-02
8.000E-01   1.250E+00    -8.478E-01   4.321E-01   -8.474E-01   4.377E-01   4.629E-04   1.273E-02
6.000E-01   1.667E+00    -9.307E-01   3.556E-01   -9.302E-01   3.692E-01   5.179E-04   3.674E-02
4.000E-01   2.500E+00    -9.853E-01   1.533E-01   -9.856E-01   1.660E-01   3.481E-04   7.675E-02
2.000E-01   5.000E+00    -9.910E-01   1.995E-01   -9.989E-01   4.535E-03   7.944E-03   4.299E+01
